시장상식,CB란 무엇인가요?,주식으로 전환 가능한 채권,회사채의 다른 이름,1,고급,"CB(Convertible Bond)는 일정한 조건 하에서 주식으로 전환할 수 있는 채권입니다. 평상시에는 이자를 받는 채권이지만, 주가가 오르면 주식으로 바꿔서 자본이득을 노릴 수 있어요. 주식과 채권의 장점을 결합한 상품입니다."
시장상식,BW의 특징은?,신주인수권을 별도 행사,자동으로 주식 전환,1,고급,"BW(Bond with Warrant)는 채권에 신주인수권이 부착된 상품으로, 채권과 신주인수권을 별도로 행사할 수 있습니다. CB와 달리 채권은 그대로 두고 신주인수권만 행사해서 주식을 추가로 살 수 있어요."
시장상식,ELS의 위험요소는?,기초자산 하락 시 원금손실,만기 전 중도해지 불가,1,응용,"ELS(Equity Linked Security)는 주가지수나 개별 주식에 연계된 파생상품으로, 기초자산이 크게 하락하면 원금 손실이 발생할 수 있습니다. 높은 수익률을 제공하지만 원금보장이 되지 않는 위험상품입니다."
시장상식,공모펀드와 사모펀드의 차이점은?,투자자 제한 여부,투자 대상의 차이,1,초급,"공모펀드는 일반 대중에게 공개 판매하는 펀드이고, 사모펀드는 소수의 전문투자자만 투자할 수 있는 펀드입니다. 공모펀드는 규제가 많은 대신 안전성이 높고, 사모펀드는 규제가 적은 대신 더 공격적인 투자가 가능해요."
시장상식,헤지펀드의 전략 특징은?,절대수익 추구,시장 수익률 추종,1,고급,"헤지펀드는 시장 상황에 관계없이 절대수익을 추구하는 대안투자 펀드입니다. 공매도, 파생상품, 레버리지 등 다양한 전략을 활용해요. 높은 수수료를 받는 대신 시장보다 높은 성과를 목표로 합니다."
시장상식,인덱스 펀드의 장점은?,낮은 비용으로 시장 수익률 확보,시장보다 높은 수익률 보장,1,응용,"인덱스 펀드는 특정 지수를 그대로 따라가는 수동 운용 펀드로, 가장 큰 장점은 낮은 비용입니다. 별도의 종목 선택 없이 지수 구성종목을 그대로 매수하므로 운용보수가 매우 낮아요. 시장 평균 수익률을 안정적으로 확보할 수 있습니다."
시장상식,밸류 투자의 핵심 철학은?,내재가치보다 싸게 사기,성장률이 높은 기업 찾기,1,초급,"밸류 투자는 기업의 내재가치보다 낮은 가격에 거래되는 주식을 찾아 투자하는 전략입니다. 워렌 버핏이 대표적인 밸류 투자자예요. PER, PBR 등이 낮고 배당수익률이 높은 저평가 주식을 장기 보유합니다."
시장상식,그로스 투자의 특징은?,높은 성장률에 베팅,안정적인 배당에 집중,1,응용,"그로스(성장) 투자는 매출액이나 이익이 빠르게 성장하는 기업에 투자하는 전략입니다. 높은 성장률을 위해 PER이 높더라도 기꺼이 프리미엄을 지불해요. 현재 수익보다는 미래 가능성에 투자하므로 변동성이 크지만, 성공할 경우 큰 수익을 거둘 수 있습니다."
시장상식,모멘텀 투자란 무엇인가요?,상승 추세를 따라가는 투자,하락할 때 매수하는 투자,1,고급,"모멘텀 투자는 주가나 실적의 상승 추세가 당분간 지속될 것이라고 보고 추세를 따라가는 투자 전략입니다. 기술적 분석을 많이 활용하며 상승하는 주식을 매수해요. 추세가 지속되는 동안은 큰 수익을 거둘 수 있지만, 추세 전환 시 손실 위험이 큽니다."
시장상식,컨트래리언 투자의 의미는?,대중 심리와 반대로 투자,대중 심리를 따라 투자,1,응용,"컨트래리언(역발상) 투자는 시장의 대중 심리와 반대로 투자하는 전략입니다. 모든 사람이 팔 때 사고, 모든 사람이 살 때 파는 방식이에요. '남들이 탐욕스러울 때 두려워하고, 남들이 두려워할 때 탐욕스러워야 한다'는 워렌 버핏의 격언이 대표적입니다."
